count,start of the ball,end of the ball,score
1,34,60,1/0
1,70,88,1/0
1,88,107,1/0
1,169,201,5/0
1,201,218,5/0
1,218,245,6/0
1,245,268,6/0
1,357,376,13/0
1,470,480,10/1
