time,scorecard present,scorecard absent
0s-34s,1,0
35s-47s,0,1
48s-72s,1,0
73s-119s,0,1
120s-142s,1,0
143s-157s,0,1
158s-181s,1,0
182s-195s,0,1
196s-214s,1,0
215s-230s,0,1
231s-244s,1,0
245s,0,1
246s-258s,1,0
259s-274s,0,1
275s-328s,1,0
