time,scorecard present,scorecard absent
0s-18s,1,0
19s-35s,0,1
36s-73s,1,0
74s-95s,0,1
96s-131s,1,0
132s-139s,0,1
140s-166s,1,0
167s-180s,0,1
181s-215s,1,0
216s-222s,0,1
223s-299s,1,0
300s-328s,0,1
