time,scorecard present,scorecard absent
0s-6s,1,0
7s-16s,0,1
17s-33s,1,0
34s-46s,0,1
47s-111s,1,0
112s-147s,0,1
148s-181s,1,0
182s-196s,0,1
197s-212s,1,0
213s-227s,0,1
228s-239s,1,0
