ball_count,start of the ball,end of the ball,score
1,1,13,113/6
2,35,73,114/6
3,73,105,115/6
4,105,137,116/6
5,137,152,117/6
6,171,253,123/6
7,253,268,125/6
8,292,325,126/6
9,325,343,127/6
10,358,384,127/6
11,443,474,128/7
12,474,481,128/7
