time,scorecard present,scorecard absent
0s-12s,1,0
13s-25s,0,1
26s-151s,1,0
152s-169s,0,1
170s-267s,1,0
268s-278s,0,1
279s-342s,1,0
343s-352s,0,1
353s-383s,1,0
384s-395s,0,1
396s-397s,1,0
398s-406s,0,1
407s-412s,1,0
413s-422s,0,1
423s-480s,1,0
